rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,Oishii Sushi & Grill,76131,,4.6,1514,über 250,250,,300,16.54,4.005,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Oishii+Sushi+%26+Grill/data=!4m7!3m6!1s0x4797065a95342735:0x1e393bf69629f01b!8m2!3d49.0079384!4d8.3956165!16s%2Fg%2F12hnw_0jg!19sChIJNSc0lVoGl0cRG_AplvY7OR4?authuser=0&hl=de&rclk=1
2,Edeka Holzer,76131,,4.6,612,151–200,151,200,175.5,22.29,3.798,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Edeka+Holzer/data=!4m7!3m6!1s0x4797068187a4b0d1:0x30592bf2db9ecdb5!8m2!3d48.9824993!4d8.3692836!16s%2Fg%2F1tj7vb08!19sChIJ0bCkh4EGl0cRtc2e2_IrWTA?authuser=0&hl=de&rclk=1
3,Kani Restaurant,76131,,4.4,337,151–200,151,200,175.5,34.24,3.236,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kani+Restaurant/data=!4m7!3m6!1s0x479707d21a35f301:0xb3a8efac94e3d831!8m2!3d49.00964!4d8.41061!16s%2Fg%2F11q88w0y__!19sChIJAfM1GtIHl0cRMdjjlKzvqLM?authuser=0&hl=de&rclk=1
4,Trip Inn Hotel Blankenburg,76131,,4.2,385,101–150,101,150,125.5,24.58,3.413,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Trip+Inn+Hotel+Blankenburg/data=!4m10!3m9!1s0x47970647a83d2629:0xf6b8974c55aad24c!5m2!4m1!1i2!8m2!3d49.0058473!4d8.4069618!16s%2Fg%2F1vlk0htm!19sChIJKSY9qEcGl0cRTNKqVUyXuPY?authuser=0&hl=de&rclk=1
5,Erste Fracht Braugasthaus,76131,,4.5,3110,51–100,51,100,75.5,2.37,4.417,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Erste+Fracht+Braugasthaus/data=!4m7!3m6!1s0x4797066bde0a1b8b:0x3202fdb2a041ca52!8m2!3d48.9948422!4d8.4002253!16s%2Fg%2F11gbn792zp!19sChIJixsK3msGl0cRUspBoLL9AjI?authuser=0&hl=de&rclk=1
6,Katik Karlsruhe,76131,,4.9,1044,51–100,51,100,75.5,6.74,4.637,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Katik+Karlsruhe/data=!4m7!3m6!1s0x4797070025041fd7:0x6e982ea06e6b3291!8m2!3d49.0100584!4d8.3969959!16s%2Fg%2F11y6nz20dd!19sChIJ1x8EJQAHl0cRkTJrbqAumG4?authuser=0&hl=de&rclk=1
7,Restaurant Terra Mare,76131,,4.8,936,51–100,51,100,75.5,7.46,4.516,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Terra+Mare/data=!4m7!3m6!1s0x479706436267a229:0xfe6cb8212d314d78!8m2!3d49.0038922!4d8.3983323!16s%2Fg%2F11bbwyty_0!19sChIJKaJnYkMGl0cReE0xLSG4bP4?authuser=0&hl=de&rclk=1
8,Café Juli,76131,,4.7,788,51–100,51,100,75.5,8.74,4.376,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Caf%C3%A9+Juli/data=!4m7!3m6!1s0x479706f0edc9a3b1:0x4929c73775ee8c0!8m2!3d49.0090482!4d8.3763765!16s%2Fg%2F1z3t9gn35!19sChIJsaPJ7fAGl0cRwOhed3OckgQ?authuser=0&hl=de&rclk=1
9,JONNY M. Club Europaplatz Karlsruhe Fitnessstudio Karlsruhe,76131,,4.5,762,51–100,51,100,75.5,9.01,4.184,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/JONNY+M.+Club+Europaplatz+Karlsruhe+Fitnessstudio+Karlsruhe/data=!4m7!3m6!1s0x4797065089f693a3:0xda4494198ae62ad4!8m2!3d49.0102704!4d8.3947084!16s%2Fg%2F1vc6cbbw!19sChIJo5P2iVAGl0cR1CrmihmURNo?authuser=0&hl=de&rclk=1
10,Kühners Wirtshaus,76131,,4.5,689,51–100,51,100,75.5,9.88,4.154,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/K%C3%BChners+Wirtshaus/data=!4m7!3m6!1s0x4797077de95acbdb:0x905e2957df44c049!8m2!3d48.9787332!4d8.404031!16s%2Fg%2F11pcpq46lc!19sChIJ28ta6X0Hl0cRScBE31cpXpA?authuser=0&hl=de&rclk=1
